locale,profile,text,state,layout,width,height,outside_pixels
en_US,compact,normal,future,small-rows,146.0,146.0,0
en_US,compact,normal,future,small-ISS,146.0,146.0,0
en_US,compact,normal,future,small-Tiangong,146.0,146.0,0
en_US,compact,normal,future,medium,292.0,146.0,0
en_US,compact,normal,future,large-ISS,292.0,311.0,0
en_US,compact,normal,future,large-Tiangong,292.0,311.0,0
en_US,narrow,normal,future,small-rows,158.0,158.0,0
en_US,narrow,normal,future,small-ISS,158.0,158.0,0
en_US,narrow,normal,future,small-Tiangong,158.0,158.0,0
en_US,narrow,normal,future,medium,338.0,158.0,0
en_US,narrow,normal,future,large-ISS,338.0,354.0,0
en_US,narrow,normal,future,large-Tiangong,338.0,354.0,0
en_US,regular,normal,future,small-rows,170.0,170.0,0
en_US,regular,normal,future,small-ISS,170.0,170.0,0
en_US,regular,normal,future,small-Tiangong,170.0,170.0,0
en_US,regular,normal,future,medium,364.0,170.0,0
en_US,regular,normal,future,large-ISS,364.0,382.0,0
en_US,regular,normal,future,large-Tiangong,364.0,382.0,0
en_US,wide,normal,future,small-rows,180.0,180.0,0
en_US,wide,normal,future,small-ISS,180.0,180.0,0
en_US,wide,normal,future,small-Tiangong,180.0,180.0,0
en_US,wide,normal,future,medium,382.0,180.0,0
en_US,wide,normal,future,large-ISS,382.0,402.0,0
en_US,wide,normal,future,large-Tiangong,382.0,402.0,0
en_US,compact,XXXL,future,small-rows,146.0,146.0,0
en_US,compact,XXXL,future,small-ISS,146.0,146.0,0
en_US,compact,XXXL,future,small-Tiangong,146.0,146.0,0
en_US,compact,XXXL,future,medium,292.0,146.0,0
en_US,compact,XXXL,future,large-ISS,292.0,311.0,0
en_US,compact,XXXL,future,large-Tiangong,292.0,311.0,0
en_US,narrow,XXXL,future,small-rows,158.0,158.0,0
en_US,narrow,XXXL,future,small-ISS,158.0,158.0,0
en_US,narrow,XXXL,future,small-Tiangong,158.0,158.0,0
en_US,narrow,XXXL,future,medium,338.0,158.0,0
en_US,narrow,XXXL,future,large-ISS,338.0,354.0,0
en_US,narrow,XXXL,future,large-Tiangong,338.0,354.0,0
en_US,regular,XXXL,future,small-rows,170.0,170.0,0
en_US,regular,XXXL,future,small-ISS,170.0,170.0,0
en_US,regular,XXXL,future,small-Tiangong,170.0,170.0,0
en_US,regular,XXXL,future,medium,364.0,170.0,0
en_US,regular,XXXL,future,large-ISS,364.0,382.0,0
en_US,regular,XXXL,future,large-Tiangong,364.0,382.0,0
en_US,wide,XXXL,future,small-rows,180.0,180.0,0
en_US,wide,XXXL,future,small-ISS,180.0,180.0,0
en_US,wide,XXXL,future,small-Tiangong,180.0,180.0,0
en_US,wide,XXXL,future,medium,382.0,180.0,0
en_US,wide,XXXL,future,large-ISS,382.0,402.0,0
en_US,wide,XXXL,future,large-Tiangong,382.0,402.0,0
en_US,compact,AX5,future,small-rows,146.0,146.0,0
en_US,compact,AX5,future,small-ISS,146.0,146.0,0
en_US,compact,AX5,future,small-Tiangong,146.0,146.0,0
en_US,compact,AX5,future,medium,292.0,146.0,0
en_US,compact,AX5,future,large-ISS,292.0,311.0,0
en_US,compact,AX5,future,large-Tiangong,292.0,311.0,0
en_US,compact,normal,ongoing,rows-normal,146.0,146.0,0
en_US,compact,normal,ongoing,chart-normal,146.0,146.0,0
en_US,compact,normal,ongoing,medium-normal,292.0,146.0,0
en_US,compact,normal,ongoing,large-normal,292.0,311.0,0
en_US,compact,XXXL,ongoing,rows-XXXL,146.0,146.0,0
en_US,compact,XXXL,ongoing,chart-XXXL,146.0,146.0,0
en_US,compact,XXXL,ongoing,medium-XXXL,292.0,146.0,0
